Product,Branch,Age,Gender,Education,MaritalStatus,Usage,Fitness,Income,Miles
TM195,West,18,Male,14,Single,,4,29562,112
TM195,East,19,Male,15,Single,2,3,31836,75
TM195,West,19,Female,14,P,4,3,30699,66
TM195,South,na,na,na,na,na,na,na,na
TM195,West,19,Male,12,S,,3,32973,85
TM195,North,20,Male,13,Partnered,4,2,35247,47
TM195,East,20,Female,14,Partnered,3,3,32973,66
TM195,East,21,Female,14,Partnered,3,3,35247,75
TM195,West,21,Male,13,Single,,3,32973,85
TM195,West,21,Male,15,Single,5,4,35247,141
TM195,South,21,Female,15,Partnered,2,3,37521,85
TM195,South,22,Male,14,Single,3,3,36384,85
TM195,South,22,Female,14,Partnered,3,2,35247,66
TM195,West,22,Female,16,Single,4,3,36384,75
TM195,South,22,Female,14,Single,3,3,35247,75
TM195,West,23,Male,16,Partnered,3,1,38658,47
TM195,North,23,Male,16,Partnered,3,3,40932,75
TM195,East,23,Female,14,Single,2,3,34110,103
TM195,South,23,Male,16,Partnered,4,3,39795,94
TM195,West,23,Female,16,Single,4,3,38658,113
TM195,North,23,Female,15,Partnered,2,2,34110,38
TM195,West,23,Male,14,Single,4,3,38658,113
TM195,South,23,Male,16,Single,4,3,40932,94
TM195,West,24,Female,16,Single,4,3,42069,94
TM195,East,24,Female,16,Partnered,5,5,44343,188
TM195,South,24,Male,14,Single,2,3,45480,113
TM195,East,24,Male,13,Partnered,3,2,42069,47
TM195,North,24,Female,16,Single,4,3,46617,75
TM195,North,25,Female,14,Partnered,3,3,48891,75
TM195,North,25,Male,14,Partnered,2,3,45480,56
TM195,South,25,Female,14,Partnered,2,2,53439,47
TM195,South,25,Female,14,Partnered,3,3,39795,85
TM195,West,25,Male,16,Single,3,4,40932,113
TM195,East,25,Female,16,Partnered,2,2,40932,47
TM195,South,25,Male,16,Single,3,3,43206,85
TM195,West,26,Female,14,Partnered,3,4,44343,113
TM195,North,26,Female,16,Partnered,4,3,52302,113
TM195,North,26,Male,16,Partnered,2,2,53439,47
TM195,North,26,Male,16,Partnered,3,3,51165,85
TM195,South,26,Female,16,Single,3,3,36384,66
TM195,South,26,Male,16,Partnered,4,4,44343,132
TM195,South,26,Male,16,Single,3,3,50028,85
TM195,West,27,Female,14,Partnered,3,2,45480,66
TM195,South,27,Male,16,S,4,3,54576,85
TM195,West,27,Female,14,P,2,3,45480,56
TM195,North,28,Female,14,Partnered,2,3,46617,56
TM195,South,28,Female,16,Partnered,2,3,52302,66
TM195,West,28,Male,14,Single,3,3,52302,103
TM195,South,28,Female,14,Partnered,3,3,54576,94
TM195,North,28,Male,14,Single,4,3,54576,113
TM195,South,28,Female,16,Partnered,3,3,51165,56
TM195,East,na,Male,18,Partnered,3,3,68220,85
TM195,South,na,Female,14,Partnered,2,2,46617,38
TM195,North,na,Female,16,Partnered,4,3,50028,94
TM195,West,30,Male,14,Partnered,4,4,46617,141
TM195,North,30,Male,14,Single,,3,54576,85
TM195,South,31,Male,14,Partnered,2,2,54576,47
TM195,North,31,Female,14,Single,2,2,45480,47
TM195,North,32,Female,14,Single,3,4,46617,113
TM195,West,32,Male,14,Partnered,4,3,52302,85
TM195,West,33,Female,16,Single,2,2,55713,38
TM195,North,33,Female,16,Partnered,3,3,46617,85
TM195,East,34,Male,16,Single,4,5,51165,169
TM195,East,34,Female,16,Single,2,2,52302,66
TM195,East,35,Male,16,Partnered,4,3,48891,85
TM195,North,35,Female,16,Partnered,3,3,60261,94
TM195,South,35,Female,18,Single,3,3,67083,85
TM195,West,36,Male,12,Single,4,3,44343,94
TM195,South,37,Female,16,Partnered,3,3,37521,85
TM195,West,38,Male,16,Partnered,3,3,46617,75
TM195,South,38,Female,14,Partnered,2,3,54576,56
TM195,South,38,Male,14,Single,2,3,52302,56
TM195,South,38,Male,16,Partnered,3,3,56850,75
TM195,North,39,Male,16,Partnered,4,4,59124,132
TM195,West,40,Male,16,Partnered,3,3,61398,66
TM195,South,41,Male,16,Partnered,4,3,54576,103
TM195,East,43,Male,16,Partnered,3,3,53439,66
TM195,East,44,Female,16,Single,3,4,57987,75
TM195,West,46,Female,16,Partnered,3,2,60261,47
TM195,East,47,Male,16,Partnered,4,3,56850,94
TM195,West,50,Female,16,Partnered,3,3,64809,66
TM498,East,19,Male,14,Single,3,3,31836,64
TM498,South,20,Male,14,Single,2,3,32973,53
TM498,West,20,Female,14,Partnered,3,3,34110,106
TM498,South,20,Male,14,Single,3,3,38658,95
TM498,East,21,Female,14,Partnered,5,4,34110,212
TM498,North,21,Male,16,Partnered,2,2,34110,42
TM498,East,21,Male,12,Partnered,2,2,32973,53
TM498,West,23,Male,14,Partnered,3,3,36384,95
TM498,North,23,Male,14,Partnered,3,3,38658,85
TM498,West,23,Female,16,Single,3,3,45480,95
TM498,North,23,Male,16,Partnered,4,3,45480,127
TM498,South,23,Female,16,Partnered,3,2,43206,74
TM498,East,23,Female,14,Single,3,2,40932,53
TM498,South,23,Male,16,Partnered,3,3,45480,64
TM498,West,24,Female,14,Single,3,2,40932,85
TM498,East,24,Male,14,Single,3,4,48891,106
TM498,East,24,Female,16,Single,,3,50028,106
TM498,South,25,Female,14,Partnered,2,3,45480,85
TM498,West,25,Female,14,Single,3,4,43206,127
TM498,West,25,Male,16,Partnered,2,2,52302,42
TM498,East,25,Female,14,Partnered,5,3,47754,106
TM498,East,25,Male,14,Single,3,3,45480,95
TM498,East,25,Female,14,Single,2,3,43206,64
TM498,North,25,Male,14,Partnered,4,3,45480,170
TM498,South,25,Male,14,Partnered,3,4,43206,106
TM498,East,25,Male,16,Partnered,2,3,50028,53
TM498,East,25,Female,14,Single,2,2,45480,42
TM498,South,25,Male,14,Single,4,3,48891,127
TM498,East,26,Female,16,Partnered,4,3,45480,85
TM498,West,26,Female,16,Single,4,4,50028,127
TM498,West,26,Male,16,Single,4,3,51165,106
TM498,West,27,Male,14,Single,4,2,45480,53
TM498,South,,Female,14,Partnered,3,3,51165,95
TM498,West,30,Female,14,Single,3,3,57987,74
TM498,South,30,Female,13,Single,4,3,46617,106
TM498,North,31,Male,16,Partnered,3,3,52302,95
TM498,East,31,Female,16,Partnered,2,3,51165,64
TM498,West,31,Female,18,Single,2,1,65220,21
TM498,North,32,Male,16,Single,4,3,60261,127
TM498,West,32,Male,16,Partnered,3,3,53439,95
TM498,West,33,Male,13,Partnered,4,4,53439,170
TM498,South,na,na,na,na,na,na,na,na
TM498,South,33,Female,16,Partnered,2,3,50028,85
TM498,North,33,Male,16,Partnered,3,3,51165,95
TM498,South,33,Female,16,Partnered,5,3,53439,95
TM498,East,33,Female,18,Single,,4,47754,74
TM498,North,34,Female,16,Partnered,4,3,64809,95
TM498,East,34,Male,16,Partnered,3,4,59124,85
TM498,East,34,Male,15,Single,3,3,67083,85
TM498,South,35,Female,14,Partnered,3,2,52302,53
TM498,West,35,Male,16,Partnered,3,2,53439,53
TM498,North,35,Female,16,Single,,2,50028,64
TM498,South,35,Male,16,Partnered,3,3,53439,95
TM498,West,37,Female,16,Partnered,2,3,48891,85
TM498,East,38,Female,16,Partnered,4,3,62535,85
TM498,North,38,Male,16,Partnered,3,3,59124,106
TM498,North,40,Female,16,Partnered,3,3,61398,85
TM498,South,40,Female,16,Single,3,3,57987,85
TM498,South,40,Male,16,P,3,3,64809,95
TM498,West,45,Male,16,P,2,2,54576,42
TM498,South,48,Male,16,Partnered,2,3,57987,64
TM798,South,22,Male,14,Single,4,3,48658,106
TM798,South,22,Male,16,Single,,5,54781,120
TM798,East,22,Male,18,Single,4,5,48556,200
TM798,North,23,Male,16,Single,4,5,58516,140
TM798,North,23,Female,18,Single,5,4,53536,100
TM798,East,23,Male,16,Single,4,5,48556,100
TM798,West,24,Male,16,Single,4,5,61006,100
TM798,West,24,Male,18,Partnered,4,5,57271,80
TM798,North,24,Female,16,Single,5,5,52291,200
TM798,East,24,Male,16,Single,5,5,49801,160
TM798,West,25,Male,16,Partnered,4,5,49801,120
TM798,South,25,Male,16,Partnered,4,4,62251,160
TM798,North,25,Female,18,Partnered,5,5,61006,200
TM798,East,25,Male,18,Partnered,4,3,64741,100
TM798,North,25,Male,18,Partnered,6,4,70966,180
TM798,East,25,Male,18,Partnered,6,5,75946,240
TM798,West,25,Male,20,Partnered,4,5,74701,170
TM798,East,26,Female,21,Single,4,3,69721,100
TM798,East,26,Male,16,Partnered,5,4,64741,180
TM798,East,27,Male,16,Partnered,4,5,83416,160
TM798,North,27,Male,18,Single,4,3,88396,100
TM798,South,27,Male,21,Partnered,4,4,90886,100
TM798,North,28,Female,18,Partnered,6,5,92131,180
TM798,North,28,Male,18,Partnered,7,5,77191,180
TM798,East,28,Male,18,Single,6,5,88396,150
TM798,East,,Male,18,Single,5,5,52290,180
TM798,West,,Male,14,Partnered,7,5,85906,300
TM798,West,30,Female,16,Partnered,6,5,90886,280
TM798,East,30,Male,18,Partnered,5,4,103336,160
TM798,South,30,Male,18,Partnered,5,5,99601,150
TM798,South,31,Male,16,Partnered,6,5,89641,260
TM798,West,na,na,na,na,na,na,na,na
TM798,North,33,Female,18,Partnered,4,5,95866,200
TM798,West,34,Male,16,Single,5,5,92131,150
TM798,East,35,Male,16,Partnered,4,5,92131,360
TM798,North,38,Male,18,Partnered,5,5,104581,150
TM798,East,40,Male,21,Single,6,5,83416,200
TM798,West,42,Male,18,Single,5,4,89641,200
TM798,East,45,Male,16,S,5,5,90886,160
TM798,North,47,Male,18,Partnered,4,5,104581,120
TM798,South,48,Male,18,P,4,5,95508,180
